Hugo_Symbol	Frame_Shift_Del	Frame_Shift_Ins	In_Frame_Del	In_Frame_Ins	Missense_Mutation	Nonsense_Mutation	Nonstop_Mutation	Splice_Site	Translation_Start_Site	total	MutatedSamples	AlteredSamples
SLC24A5	0	1	0	0	19	0	0	2	0	22	20	20
SLC7A7	0	0	0	0	19	2	0	1	0	22	20	20
SOX9	2	2	0	0	17	1	0	0	0	22	20	20
SSBP3	1	0	0	0	17	1	1	2	0	22	20	20
ST8SIA2	0	0	0	0	21	1	0	0	0	22	20	20
SYAP1	0	0	0	0	20	2	0	0	0	22	20	20
TANK	1	1	0	0	17	3	0	0	0	22	20	20
TFAP2C	1	0	0	0	18	3	0	0	0	22	20	20
TFEB	1	0	0	1	20	0	0	0	0	22	20	20
TMCO5A	0	0	0	0	20	1	0	1	0	22	20	20
TMEFF2	2	1	0	0	16	3	0	0	0	22	20	20
TRA2B	0	0	0	0	22	0	0	0	0	22	20	20
TSC22D2	0	0	0	0	20	2	0	0	0	22	20	20
TUBA8	1	0	0	0	18	3	0	0	0	22	20	20
VBP1	0	0	0	0	20	2	0	0	0	22	20	20
ZNF57	0	0	0	0	19	2	0	1	0	22	20	20
AACS	0	1	0	0	18	0	0	2	0	21	20	20
ACSS1	1	0	0	0	18	1	0	1	0	21	20	20
ALDH2	5	2	0	0	14	0	0	0	0	21	20	20
AMZ2	1	0	0	0	18	1	0	0	1	21	20	20
AP3M2	0	0	0	0	20	0	0	1	0	21	20	20
BPIFB1	0	0	0	0	21	0	0	0	0	21	20	20
C1orf127	2	0	0	0	18	1	0	0	0	21	20	20
C9orf156	0	0	0	0	20	1	0	0	0	21	20	20
CD55	0	0	2	0	15	3	0	1	0	21	20	20
CHST12	0	0	0	0	21	0	0	0	0	21	20	20
CPNE9	1	0	0	0	20	0	0	0	0	21	20	20
CTTNBP2NL	0	1	0	0	18	2	0	0	0	21	20	20
DKK2	0	1	0	0	19	1	0	0	0	21	20	20
E4F1	2	0	0	0	18	0	0	1	0	21	20	20
EIF2B3	2	0	0	0	17	2	0	0	0	21	20	20
EIF4A1	1	0	1	0	16	3	0	0	0	21	20	20
FGD4	0	1	0	0	16	3	0	1	0	21	20	20
FTSJ1	0	0	0	0	19	1	0	1	0	21	20	20
GGN	1	0	0	0	20	0	0	0	0	21	20	20
GSN	0	0	0	0	19	1	0	1	0	21	20	20
HNRNPF	0	0	0	0	19	2	0	0	0	21	20	20
IL23R	0	1	0	0	19	1	0	0	0	21	20	20
KCNN4	0	0	0	0	21	0	0	0	0	21	20	20
LDLRAP1	9	0	0	0	12	0	0	0	0	21	20	20
LRRC71	0	1	0	0	18	0	0	2	0	21	20	20
MAGEA3	0	0	0	0	18	3	0	0	0	21	20	20
MFHAS1	1	1	0	0	18	1	0	0	0	21	20	20
MYC	0	0	0	0	21	0	0	0	0	21	20	20
NUFIP1	3	2	0	0	16	0	0	0	0	21	20	20
OR2Z1	0	1	0	0	19	0	1	0	0	21	20	20
OR56A1	1	0	0	0	17	2	1	0	0	21	20	20
OR6K3	1	0	0	0	19	1	0	0	0	21	20	20
OXSM	1	0	0	0	17	3	0	0	0	21	20	20
P4HB	4	0	0	0	16	0	0	1	0	21	20	20
PDYN	1	0	0	0	20	0	0	0	0	21	20	20
PIGA	0	0	0	0	20	1	0	0	0	21	20	20
PPP2R5D	0	1	0	0	17	1	0	2	0	21	20	20
PRCP	1	0	0	0	20	0	0	0	0	21	20	20
PSMD12	0	0	0	0	15	6	0	0	0	21	20	20
QKI	7	2	0	0	9	3	0	0	0	21	20	20
QSOX2	0	1	0	0	17	3	0	0	0	21	20	20
RAB4A	0	3	0	0	16	2	0	0	0	21	20	20
SET	0	0	0	0	18	2	0	1	0	21	20	20
SH3BP5	1	0	0	0	14	3	0	3	0	21	20	20
SLC14A1	1	0	0	0	19	1	0	0	0	21	20	20
STK17A	0	0	0	0	18	2	0	1	0	21	20	20
SUPT3H	1	0	0	0	12	7	0	1	0	21	20	20
SYN2	1	0	0	0	17	2	0	1	0	21	20	20
TGFB1I1	3	1	1	0	15	0	0	1	0	21	20	20
THEG	1	0	0	0	18	0	0	2	0	21	20	20
TMEM225	0	0	0	0	20	1	0	0	0	21	20	20
TMEM236	0	1	0	0	18	2	0	0	0	21	20	20
TMEM39B	0	1	0	0	17	3	0	0	0	21	20	20
TSKS	3	1	0	0	16	1	0	0	0	21	20	20
UFD1L	1	0	0	0	17	0	0	3	0	21	20	20
VEZT	2	0	0	0	15	4	0	0	0	21	20	20
VPS4B	2	1	0	0	17	1	0	0	0	21	20	20
WDR4	2	1	0	0	18	0	0	0	0	21	20	20
ACTL7B	0	1	0	0	19	0	0	0	0	20	20	20
ARFGAP1	3	0	0	0	15	2	0	0	0	20	20	20
ARHGAP27	0	0	0	0	19	1	0	0	0	20	20	20
ARPC1A	0	0	0	0	18	1	0	1	0	20	20	20
C12orf66	1	0	0	0	17	1	0	1	0	20	20	20
GDF6	0	0	0	0	20	0	0	0	0	20	20	20
HOXC10	1	0	0	0	19	0	0	0	0	20	20	20
IL22RA1	0	0	0	0	16	3	0	1	0	20	20	20
KCNJ5	0	0	0	0	19	1	0	0	0	20	20	20
KRT72	0	0	0	0	20	0	0	0	0	20	20	20
OSBPL2	4	0	0	0	12	2	0	2	0	20	20	20
PPARG	3	0	0	0	15	1	0	1	0	20	20	20
PRKAR1A	0	0	0	0	17	3	0	0	0	20	20	20
RSPH3	0	1	1	0	17	1	0	0	0	20	20	20
SLC22A6	5	1	0	0	14	0	0	0	0	20	20	20
SMPD2	5	0	0	0	14	0	0	1	0	20	20	20
IPP	0	0	0	0	27	4	0	0	0	31	19	19
GTF2H1	0	0	0	0	25	4	0	1	0	30	19	19
KRT39	0	0	0	0	27	3	0	0	0	30	19	19
NR5A2	1	0	0	0	27	2	0	0	0	30	19	19
PRB2	1	0	0	0	22	7	0	0	0	30	19	19
NCDN	0	0	0	0	27	2	0	0	0	29	19	19
PABPC1	0	0	0	0	25	1	0	2	1	29	19	19
PGM3	0	0	0	0	28	1	0	0	0	29	19	19
TMEM255A	0	0	0	0	25	0	0	4	0	29	19	19
BRD9	1	0	0	0	22	4	0	1	0	28	19	19
CPA5	1	0	0	0	27	0	0	0	0	28	19	19
HIP1	1	0	0	0	25	1	0	1	0	28	19	19
HSPA13	1	0	0	0	22	5	0	0	0	28	19	19
LRRTM2	0	0	0	0	27	1	0	0	0	28	19	19
SLC6A18	0	0	0	0	25	0	0	3	0	28	19	19
TLE3	0	0	0	0	27	1	0	0	0	28	19	19
TMPRSS11A	0	0	0	0	25	2	0	1	0	28	19	19
HLCS	0	1	0	0	23	2	0	1	0	27	19	19
KRT20	0	0	0	0	22	5	0	0	0	27	19	19
MFSD8	0	0	0	0	24	1	0	2	0	27	19	19
MTERF1	0	1	0	0	21	5	0	0	0	27	19	19
NEK3	0	0	0	0	25	2	0	0	0	27	19	19
SELE	0	0	0	0	23	3	0	1	0	27	19	19
SHCBP1	0	0	0	0	24	3	0	0	0	27	19	19
STK32C	0	0	0	0	22	1	0	4	0	27	19	19
TRIB3	1	0	0	0	23	3	0	0	0	27	19	19
ZNF468	1	0	0	0	18	7	0	0	1	27	19	19
ZPBP	0	0	0	0	24	3	0	0	0	27	19	19
AAAS	1	1	0	0	21	2	0	1	0	26	19	19
ALLC	0	0	0	0	21	3	0	2	0	26	19	19
CCDC106	0	0	0	0	26	0	0	0	0	26	19	19
CMKLR1	0	0	0	0	25	1	0	0	0	26	19	19
ENTPD1	1	0	0	0	23	1	0	1	0	26	19	19
EYA2	1	0	0	0	24	1	0	0	0	26	19	19
GAREML	2	0	0	0	23	0	0	1	0	26	19	19
GFM2	0	0	0	0	21	3	0	2	0	26	19	19
GRK6	0	0	0	0	25	1	0	0	0	26	19	19
KRT76	0	1	0	0	25	0	0	0	0	26	19	19
LETM1	2	0	0	0	24	0	0	0	0	26	19	19
MTSS1L	4	0	1	0	21	0	0	0	0	26	19	19
NOL11	0	1	0	0	21	1	0	3	0	26	19	19
NUF2	1	0	0	0	23	1	0	1	0	26	19	19
OR5K3	0	0	0	0	25	1	0	0	0	26	19	19
PDE4A	0	0	0	0	24	2	0	0	0	26	19	19
PGM5	0	0	0	0	25	1	0	0	0	26	19	19
S1PR1	0	0	0	0	24	1	1	0	0	26	19	19
SCML4	1	0	0	0	20	5	0	0	0	26	19	19
TRIP4	1	0	0	0	20	4	0	1	0	26	19	19
TTC39C	1	0	0	0	20	3	0	2	0	26	19	19
UBA7	0	0	0	0	23	2	0	1	0	26	19	19
ZYG11B	0	1	0	0	22	1	0	2	0	26	19	19
ALOX15	0	1	0	0	22	0	0	2	0	25	19	19
ANTXR1	1	0	0	0	20	3	0	1	0	25	19	19
ANXA6	0	0	0	0	25	0	0	0	0	25	19	19
AP1M1	1	1	0	0	21	0	1	1	0	25	19	19
ARHGAP19	2	0	0	0	21	1	0	1	0	25	19	19
ASB4	0	0	0	0	24	0	0	1	0	25	19	19
ASIC5	0	0	0	0	20	4	0	1	0	25	19	19
CAMK1D	0	0	0	0	24	0	0	1	0	25	19	19
CCDC33	1	0	0	0	22	2	0	0	0	25	19	19
CIRH1A	0	0	0	0	24	1	0	0	0	25	19	19
CLHC1	0	1	0	0	21	2	0	1	0	25	19	19
COPG1	1	0	0	0	22	1	0	1	0	25	19	19
CPO	0	0	0	0	22	3	0	0	0	25	19	19
DPY19L3	1	0	0	0	21	2	0	1	0	25	19	19
EFCAB12	0	0	0	1	21	1	0	2	0	25	19	19
FAM105A	0	2	0	0	21	1	0	1	0	25	19	19
FKBP5	0	0	0	0	24	1	0	0	0	25	19	19
FOXA1	0	1	0	0	24	0	0	0	0	25	19	19
GABRD	2	0	0	0	21	1	0	1	0	25	19	19
GAS7	0	0	0	0	23	2	0	0	0	25	19	19
GJA9	0	0	0	0	22	3	0	0	0	25	19	19
NIM1K	1	0	0	0	17	7	0	0	0	25	19	19
NME9	0	0	0	0	21	2	0	2	0	25	19	19
OTC	0	0	0	0	21	4	0	0	0	25	19	19
PARP12	0	0	0	0	24	0	0	1	0	25	19	19
RFX1	1	0	0	0	20	2	0	2	0	25	19	19
SEPT4	0	0	0	0	24	1	0	0	0	25	19	19
SLC19A1	0	0	0	0	25	0	0	0	0	25	19	19
SLC28A2	1	0	0	0	20	0	0	4	0	25	19	19
SMAD4	0	0	0	0	22	2	0	1	0	25	19	19
SOWAHB	0	0	0	0	24	1	0	0	0	25	19	19
SUGCT	0	0	0	0	24	1	0	0	0	25	19	19
SYT3	0	0	0	0	24	0	0	1	0	25	19	19
TMPRSS11D	1	0	0	0	19	4	0	1	0	25	19	19
TNFRSF8	1	0	0	0	21	3	0	0	0	25	19	19
TNK1	0	0	0	0	24	1	0	0	0	25	19	19
TOR1AIP1	2	1	0	0	19	3	0	0	0	25	19	19
TRIM77	0	0	0	0	21	3	0	1	0	25	19	19
ZNF230	0	0	0	0	22	3	0	0	0	25	19	19
ZNF710	0	1	0	0	22	2	0	0	0	25	19	19
ZNF846	0	1	0	0	22	1	0	1	0	25	19	19
ABTB1	1	0	0	0	22	1	0	0	0	24	19	19
ACOT11	0	0	0	0	24	0	0	0	0	24	19	19
ALDH16A1	1	0	0	0	19	3	0	1	0	24	19	19
BLMH	2	0	0	0	19	1	0	2	0	24	19	19
C9orf3	0	0	0	0	22	1	0	1	0	24	19	19
CASQ2	0	0	0	0	21	2	0	1	0	24	19	19
CCDC105	0	0	0	0	22	2	0	0	0	24	19	19
CDC37L1	3	0	0	0	18	3	0	0	0	24	19	19
CDYL2	0	0	0	0	23	1	0	0	0	24	19	19
CHAT	0	0	0	0	21	3	0	0	0	24	19	19
CLPTM1	0	0	0	0	24	0	0	0	0	24	19	19
CUZD1	0	1	0	0	23	0	0	0	0	24	19	19
CYP2C18	0	0	0	0	19	4	0	1	0	24	19	19
DAW1	0	0	0	0	21	2	0	1	0	24	19	19
DERA	0	1	0	0	18	3	0	2	0	24	19	19
DNAJC14	1	0	0	0	20	1	0	2	0	24	19	19
DPY19L1	0	0	0	0	23	0	0	1	0	24	19	19
EEPD1	0	0	0	0	21	1	0	2	0	24	19	19
ELMO2	0	0	0	0	20	0	0	4	0	24	19	19
FAM83H	0	0	0	0	22	2	0	0	0	24	19	19
FEM1B	0	0	0	0	23	1	0	0	0	24	19	19
GFAP	0	0	0	0	21	1	0	2	0	24	19	19
GGA3	1	0	0	0	22	1	0	0	0	24	19	19
GNPDA2	0	1	1	0	19	2	0	0	1	24	19	19
GORAB	1	0	0	0	21	2	0	0	0	24	19	19
GPR143	0	0	0	0	24	0	0	0	0	24	19	19
GSK3B	1	1	0	0	13	8	0	1	0	24	19	19
HCLS1	0	0	0	0	18	6	0	0	0	24	19	19
HNRNPK	0	0	0	1	23	0	0	0	0	24	19	19
HSD17B11	0	0	0	0	21	3	0	0	0	24	19	19
IL27RA	2	1	0	0	19	2	0	0	0	24	19	19
ITPKC	0	1	0	0	20	3	0	0	0	24	19	19
KIAA0907	1	1	0	0	18	4	0	0	0	24	19	19
LMBR1	0	1	0	0	18	3	0	2	0	24	19	19
MED16	1	0	0	0	23	0	0	0	0	24	19	19
MEPCE	2	0	0	0	21	1	0	0	0	24	19	19
MGAT4B	1	0	0	0	19	2	0	2	0	24	19	19
NFIL3	0	0	0	0	24	0	0	0	0	24	19	19
NOLC1	3	1	0	0	19	1	0	0	0	24	19	19
OPN4	3	0	0	0	21	0	0	0	0	24	19	19
OR10Q1	0	0	0	0	24	0	0	0	0	24	19	19
OR2T1	0	0	0	0	23	1	0	0	0	24	19	19
OR5W2	0	1	0	0	21	2	0	0	0	24	19	19
PDP1	0	0	1	0	21	2	0	0	0	24	19	19
POC1B	0	0	0	0	21	2	0	1	0	24	19	19
PRAMEF10	0	0	0	0	24	0	0	0	0	24	19	19
PRKX	0	0	0	0	21	1	0	2	0	24	19	19
PUS10	0	0	0	0	16	6	0	2	0	24	19	19
PYGO1	1	0	0	0	19	4	0	0	0	24	19	19
RBM43	4	0	0	0	20	0	0	0	0	24	19	19
RHBDF2	0	2	0	0	21	0	0	1	0	24	19	19
RUSC1	1	0	0	0	23	0	0	0	0	24	19	19
SAXO2	0	1	0	0	22	1	0	0	0	24	19	19
SDHA	1	0	0	0	21	1	0	1	0	24	19	19
SF3A1	1	0	0	0	22	1	0	0	0	24	19	19
SLC22A12	1	0	0	0	23	0	0	0	0	24	19	19
SLC5A5	2	0	0	0	22	0	0	0	0	24	19	19
SMARCD3	0	0	1	0	23	0	0	0	0	24	19	19
STX11	0	0	0	0	24	0	0	0	0	24	19	19
TAS2R39	2	0	0	0	21	1	0	0	0	24	19	19
TGM5	1	0	0	0	23	0	0	0	0	24	19	19
THRB	0	0	0	0	21	2	0	0	1	24	19	19
TMEM206	2	2	0	0	20	0	0	0	0	24	19	19
TNFRSF19	0	0	0	0	22	1	0	1	0	24	19	19
ZNF280B	1	0	0	0	22	1	0	0	0	24	19	19
ZWILCH	2	0	0	0	21	0	0	1	0	24	19	19
ABCB9	1	0	0	0	21	1	0	0	0	23	19	19
ADAM18	1	0	0	0	19	2	0	1	0	23	19	19
ADRA2B	0	0	0	0	21	2	0	0	0	23	19	19
ADRB2	0	0	0	0	22	1	0	0	0	23	19	19
AKR1C4	0	0	0	0	21	2	0	0	0	23	19	19
ALDH1B1	0	1	0	0	22	0	0	0	0	23	19	19
ALDH6A1	0	0	0	0	17	6	0	0	0	23	19	19
ANKRD34B	0	0	0	0	19	4	0	0	0	23	19	19
ATP6V0D2	0	1	0	0	21	0	0	1	0	23	19	19
BTBD16	2	0	0	0	20	1	0	0	0	23	19	19
C3orf17	1	0	0	0	21	0	0	1	0	23	19	19
CD1A	0	0	0	0	20	2	0	1	0	23	19	19
COPS3	0	1	0	0	19	3	0	0	0	23	19	19
CRHR2	0	0	0	0	21	1	0	1	0	23	19	19
CSRNP2	1	0	0	0	20	1	0	1	0	23	19	19
CTSA	1	1	0	0	21	0	0	0	0	23	19	19
CYP3A4	1	0	0	0	18	4	0	0	0	23	19	19
DEF6	0	1	0	0	22	0	0	0	0	23	19	19
DMP1	0	1	0	0	17	5	0	0	0	23	19	19
DNAJC7	3	0	0	0	18	1	0	1	0	23	19	19
DPEP3	0	0	0	0	23	0	0	0	0	23	19	19
EML2	1	1	0	0	21	0	0	0	0	23	19	19
ENG	1	0	0	0	21	0	0	1	0	23	19	19
ENTPD6	0	0	0	0	22	1	0	0	0	23	19	19
ERCC1	1	0	0	0	21	1	0	0	0	23	19	19
FAXC	1	0	0	0	19	1	0	2	0	23	19	19
FOXD4L4	1	0	0	0	21	1	0	0	0	23	19	19
GABPB1	0	0	0	0	19	4	0	0	0	23	19	19
GGT5	1	0	0	0	21	1	0	0	0	23	19	19
GLIPR1L2	1	2	0	0	20	0	0	0	0	23	19	19
HHAT	0	0	0	0	19	3	0	1	0	23	19	19
HOXA3	2	2	0	0	18	1	0	0	0	23	19	19
HTR3B	1	0	0	0	19	2	0	1	0	23	19	19
HUNK	2	0	0	0	16	5	0	0	0	23	19	19
ILDR2	0	0	0	0	20	2	0	1	0	23	19	19
IQCJ-SCHIP1	0	0	0	0	19	4	0	0	0	23	19	19
KANK2	1	0	0	0	22	0	0	0	0	23	19	19
KAT5	0	1	0	0	22	0	0	0	0	23	19	19
KCTD18	0	0	0	0	19	2	1	1	0	23	19	19
KCTD20	0	0	0	0	22	0	0	0	1	23	19	19
KIR3DX1	0	0	0	0	17	5	0	1	0	23	19	19
KY	0	1	0	0	21	1	0	0	0	23	19	19
LGALS3BP	0	0	0	0	21	1	0	1	0	23	19	19
LRRC1	0	0	0	0	19	4	0	0	0	23	19	19
LRRC39	0	0	0	0	15	7	0	1	0	23	19	19
LYN	2	0	0	0	18	2	0	1	0	23	19	19
MAP2K6	0	1	0	0	22	0	0	0	0	23	19	19
MCCC2	0	0	0	0	22	0	0	1	0	23	19	19
MCMBP	0	0	0	0	19	2	0	2	0	23	19	19
MEPE	1	0	0	0	22	0	0	0	0	23	19	19
MOV10	0	0	0	0	18	3	0	2	0	23	19	19
MSTO1	0	0	0	0	23	0	0	0	0	23	19	19
NR1H3	1	0	0	0	20	1	0	1	0	23	19	19
NUAK2	0	0	0	0	21	1	0	1	0	23	19	19
OGFR	0	1	0	0	20	2	0	0	0	23	19	19
OR2T3	1	0	0	0	20	2	0	0	0	23	19	19
OR4N2	1	1	0	0	21	0	0	0	0	23	19	19
OR6N2	0	1	0	0	22	0	0	0	0	23	19	19
PAG1	0	0	0	0	22	1	0	0	0	23	19	19
PALMD	1	0	0	0	20	2	0	0	0	23	19	19
PI15	0	0	0	0	19	4	0	0	0	23	19	19
PIPOX	0	0	0	0	18	3	0	2	0	23	19	19
PLEKHB2	0	0	0	0	17	4	0	2	0	23	19	19
PLEKHG5	1	0	0	0	21	1	0	0	0	23	19	19
PLTP	1	0	0	0	21	0	0	1	0	23	19	19
PRKAG2	0	0	0	0	19	3	0	1	0	23	19	19
PSMC6	2	0	0	0	18	2	0	1	0	23	19	19
PTDSS1	0	0	0	0	18	5	0	0	0	23	19	19
PTGS1	1	0	0	0	20	0	0	2	0	23	19	19
RARS2	1	0	0	0	21	1	0	0	0	23	19	19
RASSF4	0	0	0	0	21	2	0	0	0	23	19	19
RENBP	0	0	0	0	22	1	0	0	0	23	19	19
RNF133	0	2	0	0	19	2	0	0	0	23	19	19
RRP1B	0	1	0	0	21	1	0	0	0	23	19	19
SEMA6B	3	1	0	0	16	2	0	1	0	23	19	19
SERPINB4	0	0	0	0	17	3	1	2	0	23	19	19
SETMAR	1	0	0	0	20	2	0	0	0	23	19	19
SGCZ	0	0	0	0	22	1	0	0	0	23	19	19
SLAMF7	0	2	0	0	20	1	0	0	0	23	19	19
SLC6A16	0	0	0	0	21	1	0	1	0	23	19	19
SNX1	1	0	0	0	21	1	0	0	0	23	19	19
SPRED2	0	0	0	0	19	2	0	1	1	23	19	19
STAU1	1	1	0	0	17	4	0	0	0	23	19	19
STRADA	1	0	0	0	21	1	0	0	0	23	19	19
TAF7	0	0	0	0	21	2	0	0	0	23	19	19
TARSL2	3	1	0	0	17	2	0	0	0	23	19	19
TBC1D7	0	0	0	0	23	0	0	0	0	23	19	19
TM7SF3	0	0	0	0	20	1	0	2	0	23	19	19
TPP1	2	0	0	0	20	1	0	0	0	23	19	19
TRIB1	0	0	0	0	22	1	0	0	0	23	19	19
USP3	0	0	0	0	20	2	0	0	1	23	19	19
VDR	0	0	0	0	22	1	0	0	0	23	19	19
WDR76	0	1	0	0	20	1	0	1	0	23	19	19
ZBTB43	0	0	0	0	21	2	0	0	0	23	19	19
ZDHHC13	0	2	0	0	19	2	0	0	0	23	19	19
ZNF689	3	0	0	0	20	0	0	0	0	23	19	19
ADAM11	2	1	0	0	16	2	0	1	0	22	19	19
AKAP8L	1	0	0	0	21	0	0	0	0	22	19	19
AMIGO2	0	0	0	0	21	1	0	0	0	22	19	19
ANKRD18B	0	0	0	0	20	2	0	0	0	22	19	19
BEND7	0	0	0	0	21	0	0	1	0	22	19	19
BTN2A1	1	0	0	0	18	3	0	0	0	22	19	19
C1QTNF2	3	1	0	0	17	1	0	0	0	22	19	19
C1orf167	0	0	0	0	20	2	0	0	0	22	19	19
CACTIN	0	0	0	0	22	0	0	0	0	22	19	19
CCZ1B	0	0	0	0	20	2	0	0	0	22	19	19
CDH24	3	0	0	0	19	0	0	0	0	22	19	19
CHEK1	4	0	0	0	17	1	0	0	0	22	19	19
COQ6	1	1	0	0	18	2	0	0	0	22	19	19
CPN2	1	0	0	0	21	0	0	0	0	22	19	19
CPNE1	1	0	0	0	18	3	0	0	0	22	19	19
DCDC2	2	0	0	0	18	2	0	0	0	22	19	19
DHRS7C	0	0	0	0	20	1	0	1	0	22	19	19
DNAJB11	1	1	0	0	17	2	0	1	0	22	19	19
DPYS	1	0	0	0	17	4	0	0	0	22	19	19
EIF4B	1	0	0	0	20	1	0	0	0	22	19	19
ENKUR	1	1	0	0	16	4	0	0	0	22	19	19
ERVFRD-1	0	1	0	0	18	3	0	0	0	22	19	19
FAM133A	3	2	0	0	13	3	1	0	0	22	19	19
FH	0	0	0	0	18	2	0	2	0	22	19	19
GABRP	0	0	0	0	20	2	0	0	0	22	19	19
GRXCR1	0	0	0	0	20	2	0	0	0	22	19	19
GTF2E2	1	1	0	0	18	2	0	0	0	22	19	19
GTF2IRD2	1	0	0	0	21	0	0	0	0	22	19	19
HENMT1	1	0	0	0	17	4	0	0	0	22	19	19
ICA1	4	0	0	0	16	2	0	0	0	22	19	19
ICK	0	1	0	0	15	5	0	0	1	22	19	19
IGHG2	0	0	0	0	21	1	0	0	0	22	19	19
IGSF5	0	0	0	0	22	0	0	0	0	22	19	19
IL17RC	0	0	0	0	20	1	0	1	0	22	19	19
IP6K3	0	0	0	0	19	2	0	1	0	22	19	19
ISL1	0	0	0	0	21	0	0	1	0	22	19	19
ITPRIPL1	0	2	0	0	20	0	0	0	0	22	19	19
JADE2	0	0	0	0	20	2	0	0	0	22	19	19
KLHL3	0	1	0	0	17	3	0	1	0	22	19	19
KRT35	0	0	0	0	21	0	0	1	0	22	19	19
LARP4	1	2	0	0	12	7	0	0	0	22	19	19
LPCAT4	0	1	0	0	16	4	0	1	0	22	19	19
LPPR5	1	0	0	0	18	2	0	1	0	22	19	19
LRCH4	2	0	0	0	20	0	0	0	0	22	19	19
LRRN4	0	0	0	0	21	1	0	0	0	22	19	19
MAGT1	1	0	0	0	18	3	0	0	0	22	19	19
METTL15	0	0	0	0	20	0	0	2	0	22	19	19
MTHFSD	2	0	0	0	18	0	0	2	0	22	19	19
NAA30	1	0	0	0	18	2	0	1	0	22	19	19
NEK7	3	2	0	0	15	2	0	0	0	22	19	19
NOL9	0	0	0	0	17	5	0	0	0	22	19	19
OAT	0	0	0	0	19	2	0	1	0	22	19	19
OR1I1	1	0	0	0	20	1	0	0	0	22	19	19
OR4C16	1	0	0	0	20	1	0	0	0	22	19	19
OR4L1	0	0	0	0	22	0	0	0	0	22	19	19
OR4P4	2	0	0	0	19	1	0	0	0	22	19	19
OR51M1	0	0	0	0	21	0	0	0	1	22	19	19
OR52E6	0	0	0	0	18	4	0	0	0	22	19	19
OR5F1	0	1	0	0	21	0	0	0	0	22	19	19
OR6C74	0	1	0	0	20	1	0	0	0	22	19	19
OR6Q1	0	0	0	0	20	1	1	0	0	22	19	19
OSR1	0	0	0	0	21	1	0	0	0	22	19	19
PCYOX1	0	0	0	0	21	1	0	0	0	22	19	19
PDE7B	2	0	0	0	19	1	0	0	0	22	19	19
PEPD	0	0	0	0	19	2	0	1	0	22	19	19
PHLDB3	1	0	0	0	19	2	0	0	0	22	19	19
PLAGL1	0	0	0	0	19	3	0	0	0	22	19	19
PLAGL2	3	0	0	0	17	1	0	1	0	22	19	19
POU4F1	0	0	0	0	21	1	0	0	0	22	19	19
PRKAG3	0	0	0	0	21	1	0	0	0	22	19	19
PRSS50	1	0	0	0	20	1	0	0	0	22	19	19
PTPN20	2	0	0	0	16	3	0	1	0	22	19	19
RAB11FIP2	1	0	0	0	18	3	0	0	0	22	19	19
RAB11FIP4	0	0	0	0	21	1	0	0	0	22	19	19
RFPL3	0	0	0	0	21	1	0	0	0	22	19	19
RHCG	1	0	1	0	18	1	0	1	0	22	19	19
RHOBTB1	0	0	0	0	19	3	0	0	0	22	19	19
RMI1	0	0	0	0	19	3	0	0	0	22	19	19
RRNAD1	1	0	0	0	21	0	0	0	0	22	19	19
RSAD2	0	0	0	0	21	1	0	0	0	22	19	19
RUFY4	0	0	0	0	20	2	0	0	0	22	19	19
RXRA	1	0	0	0	17	2	0	2	0	22	19	19
SCARB2	0	0	0	0	19	1	0	2	0	22	19	19
SEMA3G	0	0	0	0	19	3	0	0	0	22	19	19
SERPINB3	0	0	0	0	20	2	0	0	0	22	19	19
SETD7	1	1	0	0	17	2	0	1	0	22	19	19
SH3GLB1	0	0	0	0	20	1	0	1	0	22	19	19
SLC13A4	0	1	0	0	19	2	0	0	0	22	19	19
SLC25A3	1	0	0	0	16	3	0	2	0	22	19	19
SLC4A1AP	1	0	0	0	18	2	0	1	0	22	19	19
SREK1	2	1	0	0	18	1	0	0	0	22	19	19
SRSF5	0	0	0	0	18	3	0	1	0	22	19	19
SSUH2	0	0	0	0	20	2	0	0	0	22	19	19
ST6GALNAC5	1	0	0	0	21	0	0	0	0	22	19	19
ST8SIA4	0	0	0	0	15	6	1	0	0	22	19	19
TBL2	0	0	0	0	21	1	0	0	0	22	19	19
TCEA3	0	0	0	0	22	0	0	0	0	22	19	19
TDRKH	0	0	0	0	17	3	0	2	0	22	19	19
TEC	1	0	0	0	18	3	0	0	0	22	19	19
TEX35	0	0	0	0	20	0	0	2	0	22	19	19
TNFAIP2	0	0	0	0	18	3	0	1	0	22	19	19
TRIM49C	0	0	0	0	20	2	0	0	0	22	19	19
TRIM6-TRIM34	0	2	0	0	19	1	0	0	0	22	19	19
TUBAL3	0	0	0	0	21	1	0	0	0	22	19	19
TXK	1	0	0	0	20	1	0	0	0	22	19	19
TXNL1	2	0	0	0	17	3	0	0	0	22	19	19
UBA3	0	0	0	0	17	3	0	2	0	22	19	19
UBR7	0	2	0	0	17	1	0	2	0	22	19	19
VN1R2	0	0	0	0	22	0	0	0	0	22	19	19
WNT5A	0	0	0	0	22	0	0	0	0	22	19	19
XKR6	0	0	0	0	19	3	0	0	0	22	19	19
XKR7	1	0	0	0	21	0	0	0	0	22	19	19
ZBTB22	2	2	0	0	18	0	0	0	0	22	19	19
ZNF415	0	0	0	0	18	3	0	1	0	22	19	19
ZNF555	0	0	0	0	21	1	0	0	0	22	19	19
ZNF669	0	0	0	0	21	1	0	0	0	22	19	19
ZNF75A	2	1	0	0	19	0	0	0	0	22	19	19
